ListingKey	APN	BuildersName	City	State	StreetName	StreetNumber	TotalExpenses	YearBuilt	ListPrice	MLnumber	AccessibilityFeatures	Acres	AdNumber	Appliances	AppliancesYN	Area	Assessments	AssessmentsYN	Association	AssociationDues1	AssociationDues1Frequency	AssociationDues2	AssociationDues2Frequency	AssociationName1	AssociationYN	AttachedStructure	BuildersTractCode	BuildersTractName	Caprate	CDOM	CDOMResetYN	COLA_Board	COLA_FirstName	COLA_LastName	COLA_PublicID	COLA_StateLicenseNumber	COLO_Code	COLO_Name	CommonWalls	CommunityFeatures	ContactOrder1	ContactOrder2	ContactOrder3	ContactOrder4	ContactOrder5	ContactOrder6	Cooling	CoolingYN	COSA_FirstName	COSA_LastName	COSA_PublicID	COSA_StateLicenseNumber	COSO_Code	COSO_Name	Country	County	CrossStreets	DateClosedSale	DateCmaStatus	DateListingContract	DeletedYN	DirectionFaces	Directions	Disclosures	DocumentNumber	DOM	DoorFeatures	Elevation	EntryLevel	EntryLocation	ExteriorFeatures	FenceYN	Fencing	Fireplace	FireplaceYN	Floor	Foundation	GreenBuildingCertification	GreenCertificationRating	GreenCertifyingBody	GreenEnergyEfficient	GreenEnergyGeneration	GreenIndoorAirQuality	GreenLocation	GreenSustainability	GreenWalkScore	GreenWaterConservation	GreenYearCertified	GrossMultiplier	GrossOperatingIncome	GrossScheduledIncome	Heating	HeatingYN	InteriorFeatures	InternetSendAddressYN	InternetSendListingYN	LA_Board	LA_FirstName	LA_LastName	LA_Publicid	LA_StateLicenseNumber	LandFeeLease	LastChangeType	Laundry	LaundryYN	ListPriceExcludes	ListPriceIncludes	ListPriceLow	LO_Code	LO_Name	LotDimensions	LotFeatures	LotSquareFootage	MLSID	ModelName	MonthlyGrossIncome	NetOperatingIncome	NumberElectricMeters	NumberGarageSpaces	NumberGasMeters	NumberUncoveredSpaces	NumberUnits	NumberWaterMeters	OperatingExpense	OtherStructures	Parking	ParkingSpacesTotal	ParkingYN	Piccount	Pool	PoolYN	PostalCode	PostalCodePlus4	PreviousPrice	PreviousStatus	PricePerSqft	PricePerUnit	PropertyDescription	Roofing	Rooms	SA_FirstName	SA_LastName	SA_PublicID	SA_StateLicenseNumber	SaleType	SecurityExpense	SecurityFeatures	SellingPrice	SeniorYN	Sewer	SO_Code	SO_Name	SourceKey	SourceTimestampModified	Spa	SpaYN	SqFtSourceLot	SquareFootageBuilding	Status	Stories	StoriesTotal	StreetDirection	StreetDirectionSuffix	StreetNumberModifier	StreetSuffix	StreetSuffixModifier	StructuralCondition	Style	ThomasGuide	TimestampModified	TimestampOffMarket	TimestampPhotoModified	TimestampStatusChange	TractName	TractNumber	TractSubAreaCode	Type10ActualRent	Type10Baths	Type10Bedrooms	Type10Furnished	Type10GarageAttached	Type10GarageSpaces	Type10ProFormaRent	Type10TotalRent	Type10Units	Type11ActualRent	Type11Baths	Type11Bedrooms	Type11Furnished	Type11GarageAttached	Type11GarageSpaces	Type11ProFormaRent	Type11TotalRent	Type11Units	Type12ActualRent	Type12Baths	Type12Bedrooms	Type12Furnished	Type12GarageAttached	Type12GarageSpaces	Type12ProFormaRent	Type12TotalRent	Type12Units	Type13ActualRent	Type13Baths	Type13Bedrooms	Type13Furnished	Type13GarageAttached	Type13GarageSpaces	Type13ProFormaRent	Type13TotalRent	Type13Units	Type1ActualRent	Type1Baths	Type1Bedrooms	Type1Furnished	Type1GarageAttached	Type1GarageSpaces	Type1ProFormaRent	Type1TotalRent	Type1Units	Type2ActualRent	Type2Baths	Type2Bedrooms	Type2Furnished	Type2GarageAttached	Type2GarageSpaces	Type2ProFormaRent	Type2TotalRent	Type2Units	Type3ActualRent	Type3Baths	Type3Bedrooms	Type3Furnished	Type3GarageAttached	Type3GarageSpaces	Type3ProFormaRent	Type3TotalRent	Type3Units	Type4ActualRent	Type4Baths	Type4Bedrooms	Type4Furnished	Type4GarageAttached	Type4GarageSpaces	Type4ProFormaRent	Type4TotalRent	Type4Units	Type5ActualRent	Type5Baths	Type5Bedrooms	Type5Furnished	Type5GarageAttached	Type5GarageSpaces	Type5ProFormaRent	Type5TotalRent	Type5Units	Type6ActualRent	Type6Baths	Type6Bedrooms	Type6Furnished	Type6GarageAttached	Type6GarageSpaces	Type6ProFormaRent	Type6TotalRent	Type6Units	Type7ActualRent	Type7Baths	Type7Bedrooms	Type7Furnished	Type7GarageAttached	Type7GarageSpaces	Type7ProFormaRent	Type7TotalRent	Type7Units	Type8ActualRent	Type8Baths	Type8Bedrooms	Type8Furnished	Type8GarageAttached	Type8GarageSpaces	Type8ProFormaRent	Type8TotalRent	Type8Units	Type9ActualRent	Type9Baths	Type9Bedrooms	Type9Furnished	Type9GarageAttached	Type9GarageSpaces	Type9ProFormaRent	Type9TotalRent	Type9Units	Utilities	View	ViewYN	VirtualTour	WaterSource	WellDepth	WellGallonsPerMinute	WellPumpHorsepower	WellReportYN	WindowFeatures	YearBuiltSource	Zone
7786220	6030018009		LA	CA	85th	238	0	1934	275000	RS14199065		0.120				C34										D				224									NCW	SDW	8	1	5	3	6	8									US	LA	Manchester/San Pedro		2015-03-18 16:54:50	2014-09-13 00:00:00	0					224																									0				1	1	RS	Boanerges	Calderon	RCALDBOA	01268456	FEE	BOM						RNCR	AMC Realty		D0	5208	MR		1200	0	2	0	0		2	2	0			0		1	NO	0	90003	3010		X	177.19		This is a Duplex with Front unit with 2b/1b and Back unit 1b/1b  Good for new buyers or Investors.	SHN						SPAY					SIS			79375846				A	1552	A	A		E			ST			BNG		2015-03-18 16:54:50	2015-03-14 01:01:11	2014-09-15 16:04:35	2015-03-18 16:54:50		2397																																						0	1.00	2	U		0	1200	0	1	1200	1.00	1	U		0	1200	1200	1																																																																				DIST						ASS	
7792896	405070004		CHVL	CA	Vineland	38536	46982	1964	976000	EV14199451		1.050				263									0	D				231									NCW	FHL	2	1	5	3	6	8	CA	1							US	RI	Nancy Ave		2014-09-10 00:00:00	2014-09-10 00:00:00	0					231							GOOD																		60600	CF	1		1	1	EV	GEORGANN	HAMILTON	EHAMIGEO	01327604		NEWLIST						E1468	CHERRY VALLEY REALTY		HU	45738	MR		5050	46982	4	0	4		4	1	13618	SH,SHP,SBL		12		33	PVT,IG	1	92223				171.23		Front home is a 4 bedroom and 1.5 bath 1800 sq. ft. home and has in own fenced in area and storage shed. Duplex's are each 2 bedrooms 1 bath and each unit has a carport with 2 parking spaces each and a storage area and fenced backyards. They both have newer AC units and the one has been remodeled so it is rented for a bit more than the other unit. The 2217 sq. ft. 3 bedroom 3 bath unit in the back has it own carport and in ground pool and spa with large deck and outside entertaining area with built in barbeque and so much more. It has a family room and living room. Currently the owners live in that unit so we estimated it would rent for $2000 a month and included that in the gross income. There is a large shed and a workshop/office with a finished inside and an air conditioner in it. Property is beautifully landscaped and has a freshly poured concrete driveway.							STD					SEPT			79388663		IG	1	A	5700	A	A					ST					2014-09-17 13:30:53		2014-09-16 09:20:23	2014-09-16 09:14:51		438																																						875	1.00	2	U		0	875	875	1	1400	1.50	4	U		0	1400	1400	1	2000	3.00	3	U		0	2000	2000	1	775	1.00	2	U		0	875	775	1																																															NE	1		DIST						ASS	
7794286	2419004005		NHLW	CA	Hesby	10934	310	2007	1525000	BB14199525		0.133				NHO										D				207									NCW	CRB,SDW,SL,URB,VLY	1	2	1	7	6	8	CA	1							US	LA	Vineland Ave.		2015-02-09 00:00:00	2014-09-15 00:00:00	0					207							BW			WW													22.20		72000	CF	1		1	1	BB	Maximo	Gonzalez	B36605	01096120	FEE	BOM	AR	1				BH5236001	Century 21 Crest-Burbank		PAV	5804	MR		6000	16580	5	0	5		4	5	3720		AS,UNC,DY	7	1	15	NO	0	91601	5165	15250000	P	363.10		This is a beautiful income property located very close to the NOHO district. This property is a four unit that offer one 3 bedrooms 2 bath and three 1 bedrooms 1 bath with parking in the near. Each unit has granite counter-tops with tile flooring throughout the kitchen and wood floor throughout the bedrooms and living room. Also every unit has assigned parking in the back with an automatic gate.  This property was built in 2007 with many luxury upgrades and it’s very well maintained.	SPT						STD					SIS			79390712		NO	0	A	4200	A	A					ST			CNT		2015-03-11 19:48:52	2015-01-21 12:22:03	2014-09-16 10:42:05	2015-02-09 11:33:45		21																																						1800	2.00	3	U	D	2	1800	1800	1	1425	1.00	1	U	D	1	1425	1425	1	1475	1.00	1	U	D	1	1475	1475	1	1300	1.00	1	U	D	1	1300	1300	1																																															NO	0		DIST						ASS	
7796666	0478083170000		VTVL	CA	Don	16567	2096	1958	150000	IV14199694		0.369				VIC										D				225									NCW	SL	2	1	5	3	6	8	CA	1							US	SB	Louise Street		2014-09-16 00:00:00	2014-09-16 00:00:00	0					225								NO	0																15240				1	1	IV	LIQUN	LI	ILILIQUN	1865295		NEWLIST						IVMERIT	MERIDIAN CAPITAL REAL ESTATE		D1	16089	MR		1270	14040	2	0	2		2	1	1200			0		7	NO	0	92395				91.69		Great investment, positive cash flow, bring your investor, huge frontage to possibly build more units, please do not disturb tenants. This property is sold in it's as is condition, with no warranties implied or given. Subject to Provisions of the Probate Code, and requires Court Confirmation.							PBL				0	SC			79394485					1636	A						ST					2014-12-21 22:21:33		2014-09-16 12:47:34	2014-09-16 12:39:00		083																																						640	1.00	2	U		0	640	640	1	630	1.00	2	U		0	630	630	1																																																																				PHA						ASS	
7801558	032221031000		MERC	CA	Childs	603	24720	1900	499000	MC14200129		0.431														A				226		MC	Olga	Cruz	MCCRUZOL	01433642	MC972	Soldavi Realty Inc.	2CW	SDW,SL	2	1	8	12	18	9									US	MER	M St.		2014-09-15 00:00:00	2014-09-15 00:00:00	0					226																									55200				1	1	MC	Jasmine	Bucio	MCBUCIJA	01447267		NEWLIST						mc972	Soldavi Realty Inc.		D2	18766	MR		4600	2140	8	0	8		8	8	2060			8		3	NO	0	95341	6846					Great investment opportunity!							STD					SIS			79405493				A	0	A			W			AV					2014-09-16 17:47:13		2014-09-16 17:47:13	2014-09-16 17:46:14																																								3600	1.00	2	U	D	0	0	3600	6	1000	1.00	1	U	D	0	0	1000	2																																																																				DIST						EST	
7806125	4075002058		LAWN	CA	168th	4137	0	1944	600000	IN14200560		0.165				113	NO	0							0	D				224									NCW	CRB,SDW	2	1	5	3	6	8	NO	0							US	LA	Redondo Beach Blvd		2014-09-17 00:00:00	2014-09-17 00:00:00	0					224								NO	0	PC,CR	CC														38400	WL	1	GRNC	1	1	IN	Leticia	Vasquez	NVASQLET	00827749		PRICECHG	GAS,WH	1				N2049	Quest Realty		BY,FY	7200	MR		3200	36200	2	2	2		2	1	2200	TL	GAR	2	1	2	NO	0	90260		625000		348.84		Standard Sale Duplex. Two on a lot. 2 bedrooms one bath each unit with own garage and garage opener. Live in one and rent the other. Lots of trees with fruits apples,avocado,peach and guayaba. Custom cabinets. Granite counters.	SHN	BDDN,LIV					STD				0	SIS			79421423		NO	0	A	1720	A	A	1	W			ST		TK			2015-03-21 12:32:37		2014-09-17 14:45:20	2014-09-17 11:29:36		6041																																						1600	1.00	2	U		0	0	1600	1	1600	1.00	2	U		0	0	1600	1																																																																	NO	0		DIST						ASS	
7806755	4074021009		LAWN	CA	163rd	4028	0	1955	600000	IN14200583		0.120				113										D				224									NCW	CRB,SDW	2	1	5	3	6	8	NO	0							US	LA	Hawthorne Blvd		2014-09-17 00:00:00	2014-09-17 00:00:00	0					224										PC,CR	CC														38400	WL	1		1	1	IN	Leticia	Vasquez	NVASQLET	00827749		PRICECHG	GAS,WH	1				N2049	Quest Realty		BY,FY	5206	MR		3200	36200	2	2	2		2	1	2200	TL	GAR	2	1	6	NO	0	90260		635000		381.19		Standard Sale Duplex. Great duplex in City of Lawndale. Walking distance to Alondra Golf Course. Granite counter tops and custom cabinets.	SHN	BDDN					STD				0	SIS			79421951		NO	0	A	1574	A	A	1	W			ST		TK			2015-03-21 12:33:25		2014-09-17 14:37:23	2014-09-17 11:45:02		6041																																						1600	1.00	2	U	D	2	0	1600	1	1600	1.00	2	U		0	0	1600	1																																																																				DIST						ASS	
7817293	680313002	Custom	CC	CA	Canyon Vista	32565	2400	1986	278000	LG14201103	32W	0.180		GR	1	699	UNK	1		0	MO	0	MO	0	0	A		Buff	0.00	224									1CW	SL	2	20	1	7	20	8	CA	1							US	RI	Ramon/Catherdral Canyon		2015-03-13 00:10:18	2014-09-17 00:00:00	0	E	Ramon to Cathedral Canyon, Left on Corral, right on Canyon Vista.			224	PD	0	1	GL			WD	NO	0	WW	BKM												0.00	0	1850	CF	1	CF	1	1	LG	Michael	Patton	LPATTMIC	01307838	FEE	HOLD	IG	1	None	None		LEAV	Star Real Estate South County	105x71	LL	7841	MR	Custom	0	0	2	4	2	4	2	1	500		GAR	6	1	6	NO	0	92234	9307	289900	A	136.21		Investment opportunity in Cathedral City. Nice large duplex on quiet street. 2 units, each unit has 3 Bedrooms/2 baths, Approx. 1150 sq. ft each unit. Garages, Backyards, laundry hook-ups, and more. Newer appliances, and carpeting. Owners has kept these units maintained. Long term Fully rented at $950 and $900. Month to month leases,	SPT	BDDN					STD	0	EXL		0	SIS			79437031		NO	0	A	2041	A	A	1				RD			MED	787-E3	2015-03-13 00:10:18	2015-03-12 20:56:24	2014-09-26 17:46:02	2015-03-13 00:10:18		449	0																																					950	2.00	3	U	A	2	0	950	1	900	2.00	3	U	A	1	0	900	1																																																																220G	NO	0	http://www.Patton-Properties.com	DIST	0	0.00	0.00	0	SCR	ASS	R204M
7820543	313103029		PRS	CA	5th	179	0	1979	590000	IG14201367		0.179				229										A				193									2CW	FHL	2	5	4	10	6	8									US	RI	PERRIS BLVD.		2015-03-16 00:00:00	2014-09-17 00:00:00	0					193																									0				1	1	IG	Julie	Perkins	KPERKJUL	01090328		PRICECHG						KCGD01	Century 21 Gold		ARM	7808	MR		0	0	6	0	6		6	2	0			10		8	NO	0	92570	2118	515000	H			LISTING CONSISTS OF 173 AND 179 E. 5TH STREET. EACH TRIPLEX HAS TW0 2 BEDROOM 1 BATH AND ONE 3 BEDROOM 1 BATH. EACH HAS OWN LAUNDRY HOOK UPS IN EACH UNIT.  EACH HAS 3 SEPERATE GAS AND ELECTRIC METERS. ROOF IS LESS THEN 10 YEARS OLD ON BOTH BUILDINGS.							STD					SIS			79446020				A	0	A			E			ST					2015-04-16 09:36:39	2015-02-13 11:11:28	2014-09-22 08:25:39	2015-03-16 00:11:08		428																																						1000	1.00	3	U		0	1000	1000	1	800	1.00	2	U		0	1600	1600	2	500	1.00	3	U		0	1000	500	1	1550	1.00	2	U		0	1600	1550	2																																																		DIST						ASS	
7823049	7413001013		HC	CA	Frampton	25122	19950	1943	945000	SB14201428		0.230				124									0	A			6.20	223									2CW	SDW	2	1	5	3	6	8									US	LA	Lomita		2014-09-18 00:00:00	2014-09-18 00:00:00	0					223								NO	0																79452				1	1	SB	Wendy	Kim	SKIMWEN	01014460	FEE	NEWLIST	CM	1				S4292	C-21 Amber Realty		D2	10001	MR		6621	59452	6	8	6		6	1	20000			8		6	NO	0	90710				266.87		Well maintained 6 Unit complex. Close to 110 freeway and near parks, schools and shopping centers. Long term tenants and each unit has their own 1 car garage.(total 8 garages/ landlord to use 2 garages) The 3 bedroom unit is freestanding.							STD				0	SIS			79447921				A	3541	A	B					AV					2015-03-18 16:06:48		2014-09-18 13:30:11	2014-09-18 11:06:17		1589																																						1600	2.00	3	U	D	1	1800	1600	1	1200	1.00	2	U	D	1	1300	1200	1	1132	1.00	2	U	D	1	1200	1132	1	892	1.00	1	U	D	1	1000	892	1	907	1.00	1	U	D	1	1000	907	1	890	1.00	1	U	D	1	1000	890	1																																DIST						ASS	
7832880	7456018018		SP	CA	14th	221	4957	1954	520000	DW14202134	2AE	0.110				185	BV	1							0	A				222									2CW,NOA,NOB	CRB,MAR,SL,URB	2	20	8	9	6	3	NO	0							US	LA	14th St & Palos Verdes St		2014-09-19 00:00:00	2014-09-19 00:00:00	0	N	via 110 fwy south end of fwy(San Pedro)-exit Gaffey St. -heading South towards 14th st.-head east via 14th st.-cross Pacific Av. to 221 14th st.			222				GS			AVG,PTL,WD,WI	NO	0	PC															37200	WL,GAS	1		1	1	DW	Damen	Upshaw	DWUPSDAM	01901793		PRICECHG	IR,IN	1				YCRM	Century 21 Realty Masters		D0,AVCS,AA,AP,LSR,TNS,PAV	4804	MR		3100	32243	3	3	3	3	3	3	4957		COVP,UNC,DY,GAR,TDG,OS,PS,PB,OFFS	6	1	18	NO	0	90731	4314	550000		239.30		(NEW REDUCED PRICE!!!!!)Take a look at this "Great Triplex" in the bustling city of San Pedro. Just Blocks away from the Historical Harbor, Cruise Ship Docks, and Historical museums like the newly docked Battleship "The U.S.S. IOWA". A Breezy Coastal community with plenty of shopping, a wide variety of dining(e.g. San Pedro Fish/Market and Spirit Cruise, Ports O'Call Waterfront Dining) plus more all just minutes away!!! Soo much to Enjoy!!! You should never be bored. Many Fun Places and Parks for children to have Fun Daily, esp. Weekends...ex. The Famous "Gateway Plaza Fanfare Fountain". All of these fun places are just walking distance or simply minutes away from this Great income property. This Property has Three garage parking spaces and three off street parking for you or your tenants. Each unit has updated laundry connections+facilities inside which are a Top Desire for Tenants!!! You and your Tenants will Love that the Schools, Shopping and Public Transportation are all within walking distance from your triplex.This Income Property is a Great opportunity for you to Add Positive Monthly Cash Flow to Your Income 'Monthly'. To many Details to list...This Triplex is a Must See at an Affordable Price!!!(NEW REDUCED PRICE!!!)		BDDN					STD					SIS			79470878				E	2173	A	B	1	W			ST					2015-02-25 16:02:36		2015-02-25 16:02:36	2014-09-19 03:16:21		N/A																																						1200	1.00	2	U	D	1	1200	1200	1	950	1.00	1	U	D	1	950	950	1	950	1.00	1	U	D	1	950	950	1																																																								HA	1		DIST						EST	
7833427	7451003003		SP	CA	Santa Cruz	829	2765	1957	520000	DW14202138	2AE,PK	0.140				187	BV	1							0	A				222									2CW	CRB,SDW,SL	2	20	8	9	6	10									US	LA	Santa Cruz St. and Gaffey		2014-09-19 00:00:00	2014-09-19 00:00:00	0					222							GOOD,WI			PC	RF														19200	WL,GAS	1		1	1	DW	Damen	Upshaw	DWUPSDAM	01901793		PRICECHG	GAS,IN,WH	1				YCRM	Century 21 Realty Masters		D0	6080	MR		1600	16435	2	0	2		3	2	2765		AS	4	1	9	NO	0	90731	1933	550000		266.39		(NEW REDUCED PRICE!!!)3 units on a sizable lot with Two separate buildings. Why Buy a Single home??? Did you know you can purchase these 3 units at a Great price??? You can live in the front house and Wisely collect rent from the two other units in the rear!!! All 3 for the price of 1!!! The rear unit is a duplex. Each unit has 1bed and 1ba. The Front unit is a single Home with 3beds*+1ba . 4beds+(1 un-permitted room*)=5 beds total and 3baths total on the lot.  Plus Good off street parking for all occupants 4+ spaces total. There are separate meters for each building. Laundry hook ups and spaces are included in all the units and very desirable for tenants and families. Located in a popular area of San Pedro,These Great units also have a good view and Easy Access to the Harbor 110 fwy. Schools, Shopping and Restaurants are just minutes away. Public Transp., & Parks are Conveniently close which makes this income property one of the Best at this price...LOCATION LOCATION LOCATION...IF YOU HAVE A BIG FAMILY, WANT VERY AFFORDABLE MORTGAGE OR JUST LOOKING TO ACQUIRE MORE INCOME, DO NOT OVERLOOK THIS ONE. It is priced to Sell.(NEW REDUCED PRICE!!!)  (Buyers please verify all construction and any additions with the city and a professional before purchase.*)		BDDN					STD				0	SIS			79471178				E	1952	A	A		W			ST		AA			2015-02-25 15:09:18		2014-09-19 06:20:11	2014-09-19 06:10:11		2085																																						900	1.00	1	U		0	900	900	1	700	1.00	1	U		0	700	700	1	0	1.00	3	U		0	1600	0	1																																																								BR,HI	1		DIST						EST	
7835279	7208017006		LONG	CA	Pasadena	2356	2318	1920	425000	PW14202221		0.150				9									0	D	Poly High (PH)	Wrigley Area (WR)		222									NCW	CRB	2	8	20												US	LA	Burnett St.		2014-09-19 00:00:00	2014-09-19 00:00:00	0					222																									1900				1	1	PW	Mark	Ballin	PBALMARK	01397137		NEWLIST						NB07	Berkshire Hathaway H.S.C.P.		LWS	6551	MR		0	1900	3	0	3		3	3	2318			1		8	NO	0	90806	3218			223.80		This Triplex features many ammenities. Located close to schools, Airport, shopping, and freeways. Great investment opportunity. First unit is a Three Bedroom, one Bath. Second unit is a one Bedroom, one Bath. Second unit was rebuilt in 1980. Third unit is a one bedroom studio. All units are currently rented. Rents are currntly low and new owner could raise rents if desired. The address on the front house is #2358 and is blue in color with white trim.  Great investment if you can update the condition of the units yourself. The propeties are in need of updating and will not be approved by a lender.  The properties will be sold in AS-IS-Condition.  Looking for Cash offers. Priced to sell.							STD				0	SIS			79473682				A	1899	A	A					AV		FX			2015-03-19 13:05:30		2014-09-19 09:45:44	2014-09-19 09:42:34		3463																																						900	1.00	3	U		0	0	900	1	600	1.00	1	U		0	0	600	1	400	1.00	1	U		0	0	400	1																																																											DIST						ASS	
7836596	381284017		LKEL	CA	Esther	33120	0	1979	269900	PW14202361	2AE	0.170				699										D				223									NCW	SDW	2	1	5	3	6	8	CA	1							US	RI	Grand Ave		2014-09-18 00:00:00	2014-09-18 00:00:00	0					223								DEN	1																0	CF	1		1	1	PW	Teresa	Mosqueda	PMOSQTER	01381330		PRICECHG	AR	1				PB4771	Coast to Coast Realty		TNS	7405	MR		0	0	0	2	0		2	0	0			2		1	NO	0	92530	1414	279900		134.41		Nice property to live in one unit and rent the other one. One unit has 3 bedrooms and the 2nd unit has 2 bedrooms.		BDDN					STD					SIS			79477827		NO	0	A	2008	A	A					ST					2015-04-05 21:20:14		2014-12-10 14:13:00	2014-09-19 11:26:55		00																																						970	1.00	3	U	D	2	0	0	1	0	1.00	2	U		0	0	0	2																																																																	NO	0		DIST						ASS	
7843640	0587103090000		YCCV	CA	Yucca Trail	57057	31555	1976	499000	DC14202795		0.317		BIR	1	DC521									0	A				223									2CW	MTN	2	9	3	8			EV	1							US	SB	Barberry Ave.		2014-09-18 00:00:00	2014-09-18 00:00:00	0		Hwy 62 to South on Barberry Ave. left on Yucca Trail, second Building on the right.			223				GL				LIV	1	CR	CC													53865	56700	BB	1	2STR	1	1	JT	Tom	Koptis	DC50295	00560379	FEE	PRICECHG	IR	1		All Items used in the operation of the Apartments in use by the tenants.		DC5260	Coldwell Banker Roadrunner		D0	13800	MR		4725	34918	10	8	4		9	1	18947			9		30	NO	0	92284	3766	520000		86.72		9 Unit Apartment, Yucca Valley, CA 92284.  There are Three 2 bedroom 1 Bath units and Six 1 Bedroom 1 Bath units. The units are well maintained and usually full due to the excellent location within walking distance to grocery shopping, restaurants, post office and many services. There are 8 garages and 1 covered parking spaces. The Courtyard area has space for Barbeques and gatherings. Their is also a coin laundry room. No Pool to maintain at this property.	SHN						STD				0	SEPT			79492534				A	5754	A	B										2015-04-27 21:27:41		2014-11-10 11:35:52	2014-09-19 16:43:11		3967																																						600	1.00	2	U	A	1	600	600	1	595	1.00	2	U	A	1	595	595	1	500	1.00	1	U	A	1	500	500	1	495	1.00	1	U	A	1	495	495	1	475	1.00	1	U	A	1	475	475	1	495	1.00	1	U	A	1	495	495	1	495	1.00	1	U	A	1	495	495	1	475	1.00	1	U	A	1	475	475	1	595	1.00	2	U	A	1	595	595	1					DIST						EST	
7843642	6060016012		LA	CA	107th	1023	14499	1940	790000	IN14202797		0.211				C36	BV	1							0	A			7.00	225									1CW	SL	2	1	5	3	6	8									US	LA	VERMONT AVE & IMPERIAL HWY		2014-09-16 00:00:00	2014-09-16 00:00:00	0	S				225			1	GL			WI				BLK													75601	77940	WL	1		1	1	IN	TROY	PETERS	NPETETRO	01003435	FEE	PRICECHG	AR,GAS,WH	1				N1058	Troy L. Peters	50 X 184	LL	9204	MR		6495	61102	8	4	8		8	0	14499		AS	4	1	5	NO	0	90044	3062	889000		182.03	98750	PRICE REDUCED!!!, 8 UNITS IN THE WESTMONT AREA OF LOS ANGELES COUNTY, NO RENT CONTROL. THE PROPERTY IS SITUATED ON AN OVERSIZE 9,204 S.F. LOT WITH 4/ONE STORY STRUCTURES, TWO UNITS PER STRUCTURE CONSISTING OF 8-1 BEDROOM/1BATHROOM APARTMENTS WITH W/D HOOKUPS AND A SERVICE PORCH WITH BUILT-INS. THE PROPERTY HAS 4 ATTACHED-1 CAR GARAGES FOR PRIVATE PARKING AND ADDITIONAL INCOME. ALL UNITS SEPARATELY METERED FOR GAS AND ELECTRICITY WITH INDIVIDUAL HOT WATER HEATERS IN EACH UNIT KEEPING OWNER EXPENSES LOW.  THE PROPERTY IS FULLY OCCUPIED WITH THREE UNITS CONSISTING OF SECTION 8 TENANTS. EXCELLENT REPLACEMENT PROPERTY FOR 1031 EXCHANGE. PLEASE DO NOT WALK ON PROPERTY OR DISTURB TENANTS. BROKERS AND PRINCIPALS WHO IGNORE THIS REQUEST WILL NOT RECEIVE ANY CONSIDERATION.	CMP						STD					SIS			79492552				A	4340	A	A	1	W			ST			BNG	704-A5	2015-02-23 16:29:20		2014-09-21 20:30:21	2014-09-19 16:44:42		6003																																						850	1.00	1	U	D	1	1000	850	1	840	1.00	1	U	D	1	1000	840	1	875	1.00	1	U	D	1	1000	875	1	700	1.00	1	U		0	950	700	1	850	1.00	1	U	D	1	1000	850	1	740	1.00	1	U		0	950	740	1	800	1.00	1	U		0	950	800	1	840	1.00	1	U		0	950	840	1														DIST					SCR	ASS	R3
7851021	071114121		CORN	CA	Butte	1221	11352	1975	399000	CH14203348	32W,NIS	0.175		ES,HOD,RF	1	PL01	BV	1							0	A				221									2CW	CRB,RUR,SDW	2	20	9	8	3		WW	1							US	TEH	5th Ave.		2014-09-20 00:00:00	2014-09-20 00:00:00	0		From intersection of Solano & 5th go North on 5th and turn right on Butte.			221				GN	RG		BW,GOOD,WD	NO	0	PC,SV	CC													33516	34200	WL,COM	1	BTH,FORC,SIT	1	1	CH	Michael	Moller	CH157000274	01109119	FEE	NEWLIST	DINC,ELC,IR,WINC	1		Kitchen refrigerators and stoves in each unit and the washer and dryer in the laundry room.		CHMOLLE	Moller Realty Group	58.5 x 130	ARP,AVCS,AA,LS,LN,LW,LSR,LL,PAV	7605	MR		2850	22164	6	0	1	6	6	1	11352		AS,UNC,ND,OFFS	6	1	10	NO	0	96021	2522			110.83		Good income producing property with low vacancy factor.  Great location within walking distance to US Post Office and Bank of America.  On site laundry room with coin operated machines currently serviced by the owners.  New roof installed and finaled by the City of Corning in 2011.  Financial records available upon signed acceptance of a purchase contract.  Off street parking at the back of the building accessed from the alley.  Please do not disturb the tenants.	CMP	GAL,LIV,MF					STD		COD,SD		0	SC,SIS			79510991		NO	0	A	3600	A	A	1				ST		RC	CNT		2015-04-28 15:35:36		2014-09-20 17:13:58	2014-09-20 17:11:48																																								2850	6.00	6	P		0	2850	2850	6																																																																									220K,ELOP,NGS,TLOP,WMOP	NE	1		DIST					SCR	SLR	R-4
7861116	553284003		HMT	CA	Bentley	45788	1400	1985	170000	OC14203932		0.170				223										D				219									NCW	CRB	2	1	5	3	6	8	CA	1							US	RI	Marshall Ave		2014-09-22 00:00:00	2014-09-22 00:00:00	0					219								FAM	1	CR															15444	CF	1		1	1	OC	Peter	Hanson	SHANSPET	01732322	FEE	PRICECHG	AR	1	tenants belongings			J00543	Peter Hanson, Broker		D0	7405	MR		1287	14724	1	2	1		1	1	720		GAR	2	1	9	NO	0	92544	6749	180000		129.57		upgraded and remodeled home, rented after only 1 day on the market, tenant is section 8 and pays $1287/month.  Great income and guaranteed!  Very nice neighborhood, interior lot location. Perfect home for rental income.							STD					SC			79530195				A	1312	A	A					ST					2014-11-06 18:55:17		2014-11-06 18:55:17	2014-09-22 12:09:32		13483																																						1287	2.00	3	U	A	2	1287	1287	1																																																																													DIST						ASS	
